"POLITICO";"SOBRENOME";"NOME_MINUSCULA";"NOME_CASA_MINUSCULA";"NOME_CASA";"PARTIDO";"UF";"ID";"ANO_MANDATO";"LEGISLATURA";"URL_FOTO"
"ABELARDO CAMARINHA";"CAMARINHA";"abelardo camarinha";"abelardo camarinha";"ABELARDO CAMARINHA";"PSB";"SP";1772;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189171"
"ABELARDO LUPION";"LUPION";"abelardo lupion";"abelardo lupion";"ABELARDO LUPION";"DEM";"PR";879;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189172"
"ACÁCIO JÚNIOR";"JÚNIOR";"acácio júnior";"acacio junior";"ACACIO JUNIOR";"PSB";"CE";2034;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189173"
"ACELINO POPÓ";"POPÓ";"acelino popó";"acelino popo";"ACELINO POPO";"PRB";"BA";2419;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189174"
"ACÉLIO CASAGRANDE";"CASAGRANDE";"acélio casagrande";"acelio casagrande";"ACELIO CASAGRANDE";"PMDB";"SC";1975;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189175"
"ADÃO PRETTO";"PRETTO";"adão pretto";"adao pretto";"ADAO PRETTO";"PT";"RS";846;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189176"
"ADEMIR CAMILO";"CAMILO";"ademir camilo";"ademir camilo";"ADEMIR CAMILO";"PSD";"MG";1744;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189177"
"ADRIAN";;"adrian";"adrian";"ADRIAN";"PMDB";"RJ";2350;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189178"
"AELTON FREITAS";"FREITAS";"aelton freitas";"aelton freitas";"AELTON FREITAS";"PR";"MG";1773;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189179"
"AFFONSO CAMARGO";"CAMARGO";"affonso camargo";"affonso camargo";"AFFONSO CAMARGO";"PSDB";"PR";945;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189180"
"AFONSO FLORENCE";"FLORENCE";"afonso florence";"afonso florence";"AFONSO FLORENCE";"PT";"BA";2406;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189181"
"AFONSO HAMM";"HAMM";"afonso hamm";"afonso hamm";"AFONSO HAMM";"PP";"RS";1758;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189182"
"AGNALDO MUNIZ";"MUNIZ";"agnaldo muniz";"agnaldo muniz";"AGNALDO MUNIZ";"PSC";"RO";1288;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189183"
"AGUINALDO RIBEIRO";"RIBEIRO";"aguinaldo ribeiro";"aguinaldo ribeiro";"AGUINALDO RIBEIRO";"PP";"PB";2408;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189184"
"AIRTON ROVEDA";"ROVEDA";"airton roveda";"airton roveda";"AIRTON ROVEDA";"PR";"PR";1434;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189185"
"ALBANO FRANCO";"FRANCO";"albano franco";"albano franco";"ALBANO FRANCO";"PSDB";"SE";1774;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189186"
"ALBÉRICO FILHO";"FILHO";"albérico filho";"alberico filho";"ALBERICO FILHO";"PMDB";"MA";58;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189187"
"ALBERTO FILHO";"FILHO";"alberto filho";"alberto filho";"ALBERTO FILHO";"PMDB";"MA";2283;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189188"
"ALBERTO FRAGA";"FRAGA";"alberto fraga";"alberto fraga";"ALBERTO FRAGA";"DEM";"DF";1472;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189189"
"ALBERTO MOURÃO";"MOURÃO";"alberto mourão";"alberto mourao";"ALBERTO MOURAO";"PSDB";"SP";1390;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189190"
"ALBERTO SILVA";"SILVA";"alberto silva";"alberto silva";"ALBERTO SILVA";"PMDB";"PI";948;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189191"
"ALCENI GUERRA";"GUERRA";"alceni guerra";"alceni guerra";"ALCENI GUERRA";"DEM";"PR";393;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189192"
"ALCEU MOREIRA";"MOREIRA";"alceu moreira";"alceu moreira";"ALCEU MOREIRA";"PMDB";"RS";2379;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189193"
"ALDO REBELO";"REBELO";"aldo rebelo";"aldo rebelo";"ALDO REBELO";"PCdoB";"SP";764;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189194"
"ALESSANDRO MOLON";"MOLON";"alessandro molon";"alessandro molon";"ALESSANDRO MOLON";"PT";"RJ";2240;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189195"
"ALESSANDRO SABINO";"SABINO";"alessandro sabino";"alessandro sabino";"ALESSANDRO SABINO";"PMDB";"AP";1989;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189196"
"ALEX CANZIANI";"CANZIANI";"alex canziani";"alex canziani";"ALEX CANZIANI";"PTB";"PR";1435;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189197"
"ALEXANDRE CARDOSO";"CARDOSO";"alexandre cardoso";"alexandre cardoso";"ALEXANDRE CARDOSO";"PSB";"RJ";949;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189198"
"ALEXANDRE LEITE";"LEITE";"alexandre leite";"alexandre leite";"ALEXANDRE LEITE";"DEM";"SP";2373;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189199"
"ALEXANDRE ROSO";"ROSO";"alexandre roso";"alexandre roso";"ALEXANDRE ROSO";"PSB";"RS";2286;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189200"
"ALEXANDRE SANTOS";"SANTOS";"alexandre santos";"alexandre santos";"ALEXANDRE SANTOS";"PMDB";"RJ";950;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189201"
"ALEXANDRE SILVEIRA";"SILVEIRA";"alexandre silveira";"alexandre silveira";"ALEXANDRE SILVEIRA";"PSD";"MG";1775;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189202"
"ALFREDO KAEFER";"KAEFER";"alfredo kaefer";"alfredo kaefer";"ALFREDO KAEFER";"PSDB";"PR";1776;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189203"
"ALFREDO SIRKIS";"SIRKIS";"alfredo sirkis";"alfredo sirkis";"ALFREDO SIRKIS";"PV";"RJ";2309;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189204"
"ALICE PORTUGAL";"PORTUGAL";"alice portugal";"alice portugal";"ALICE PORTUGAL";"PCdoB";"BA";1531;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189205"
"ALINE CORRÊA";"CORRÊA";"aline corrêa";"aline correa";"ALINE CORREA";"PP";"SP";1777;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189206"
"ALMEIDA LIMA";"LIMA";"almeida lima";"almeida lima";"ALMEIDA LIMA";"PPS";"SE";2370;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189207"
"AMAURI TEIXEIRA";"TEIXEIRA";"amauri teixeira";"amauri teixeira";"AMAURI TEIXEIRA";"PT";"BA";2323;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189208"
"ANA ARRAES";"ARRAES";"ana arraes";"ana arraes";"ANA ARRAES";"PSB";"PE";1960;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189209"
"ANDERSON FERREIRA";"FERREIRA";"anderson ferreira";"anderson ferreira";"ANDERSON FERREIRA";"PR";"PE";2371;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189210"
"ANDRÉ DE PAULA";"PAULA";"andré de paula";"andre de paula";"ANDRE DE PAULA";"DEM";"PE";1322;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189211"
"ANDRÉ DIAS";"DIAS";"andré dias";"andre dias";"ANDRE DIAS";"PSDB";"PA";2417;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189212"
"ANDRÉ FIGUEIREDO";"FIGUEIREDO";"andré figueiredo";"andre figueiredo";"ANDRE FIGUEIREDO";"PDT";"CE";1748;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189213"
"ANDRE MONTORO";"MONTORO";"andre montoro";"andre montoro";"ANDRE MONTORO";"PSDB";"SP";2022;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189214"
"ANDRE MOURA";"MOURA";"andre moura";"andre moura";"ANDRE MOURA";"PSC";"SE";2273;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189215"
"ANDRE VARGAS";"VARGAS";"andre vargas";"andre vargas";"ANDRE VARGAS";"PT";"PR";1778;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189216"
"ANDRÉ ZACHAROW";"ZACHAROW";"andré zacharow";"andre zacharow";"ANDRE ZACHAROW";"PMDB";"PR";1536;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189217"
"ANDREIA ZITO";"ZITO";"andreia zito";"andreia zito";"ANDREIA ZITO";"PSDB";"RJ";1779;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189218"
"ANGELA AMIN";"AMIN";"angela amin";"angela amin";"ANGELA AMIN";"PP";"SC";835;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189219"
"ANGELA PORTELA";"PORTELA";"angela portela";"angela portela";"ANGELA PORTELA";"PT";"RR";1780;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189220"
"ÂNGELO AGNOLIN";"AGNOLIN";"ângelo agnolin";"angelo agnolin";"ANGELO AGNOLIN";"PDT";"TO";2383;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189221"
"ANGELO VANHONI";"VANHONI";"angelo vanhoni";"angelo vanhoni";"ANGELO VANHONI";"PT";"PR";1781;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189222"
"ANÍBAL GOMES";"GOMES";"aníbal gomes";"anibal gomes";"ANIBAL GOMES";"PMDB";"CE";958;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189223"
"ANN PONTES";"PONTES";"ann pontes";"ann pontes";"ANN PONTES";"PMDB";"PA";1537;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189224"
"ANSELMO DE JESUS";"JESUS";"anselmo de jesus";"anselmo de jesus";"ANSELMO DE JESUS";"PT";"RO";1538;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189225"
"ANTHONY GAROTINHO";"GAROTINHO";"anthony garotinho";"anthony garotinho";"ANTHONY GAROTINHO";"PR";"RJ";2306;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189226"
"ANTÔNIA LÚCIA";"LÚCIA";"antônia lúcia";"antonia lucia";"ANTONIA LUCIA";"PSC";"AC";2258;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189227"
"ANTÔNIO ANDRADE";"ANDRADE";"antônio andrade";"antonio andrade";"ANTONIO ANDRADE";"PMDB";"MG";1961;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189228"
"ANTONIO BALHMANN";"BALHMANN";"antonio balhmann";"antonio balhmann";"ANTONIO BALHMANN";"PSB";"CE";960;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189229"
"ANTONIO BRITO";"BRITO";"antonio brito";"antonio brito";"ANTONIO BRITO";"PTB";"BA";2407;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189230"
"ANTONIO BULHÕES";"BULHÕES";"antonio bulhões";"antonio bulhoes";"ANTONIO BULHOES";"PRB";"SP";1782;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189231"
"ANTONIO CARLOS";"CARLOS";"antonio carlos";"antonio carlos";"ANTONIO CARLOS";"PSDB";"MG";2025;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189232"
"ANTONIO CARLOS BISCAIA";"BISCAIA";"antonio carlos biscaia";"antonio carlos biscaia";"ANTONIO CARLOS BISCAIA";"PT";"RJ";1462;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189233"
"ANTONIO CARLOS CHAMARIZ";"CHAMARIZ";"antonio carlos chamariz";"antonio carlos chamariz";"ANTONIO CARLOS CHAMARIZ";"PTB";"AL";1997;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189234"
"ANTONIO CARLOS MAGALHÃES NETO";"MAGALHÃES NETO";"antonio carlos magalhães neto";"antonio carlos magalhaes neto";"ANTONIO CARLOS MAGALHAES NETO";"DEM";"BA";1540;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189235"
"ANTONIO CARLOS MENDES THAME";"MENDES THAME";"antonio carlos mendes thame";"antonio carlos mendes thame";"ANTONIO CARLOS MENDES THAME";"PSDB";"SP";288;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189236"
"ANTONIO CARLOS PANNUNZIO";"PANNUNZIO";"antonio carlos pannunzio";"antonio carlos pannunzio";"ANTONIO CARLOS PANNUNZIO";"PSDB";"SP";961;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189237"
"ANTONIO CRUZ";"CRUZ";"antonio cruz";"antonio cruz";"ANTONIO CRUZ";"PP";"MS";1516;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189238"
"ANTONIO FEIJÃO";"FEIJÃO";"antonio feijão";"antonio feijao";"ANTONIO FEIJAO";"PTC";"AP";964;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189239"
"ANTONIO IMBASSAHY";"IMBASSAHY";"antonio imbassahy";"antonio imbassahy";"ANTONIO IMBASSAHY";"PSDB";"BA";2295;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189240"
"ANTONIO JOSÉ MEDEIROS";"JOSÉ MEDEIROS";"antonio josé medeiros";"antonio jose medeiros";"ANTONIO JOSE MEDEIROS";"PT";"PI";1783;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189241"
"ANTONIO PALOCCI";"PALOCCI";"antonio palocci";"antonio palocci";"ANTONIO PALOCCI";"PT";"SP";1393;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189242"
"ANTÔNIO ROBERTO";"ROBERTO";"antônio roberto";"antonio roberto";"ANTONIO ROBERTO";"PV";"MG";1784;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189243"
"ARACELY DE PAULA";"DE PAULA";"aracely de paula";"aracely de paula";"ARACELY DE PAULA";"PR";"MG";689;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189244"
"ARIOSTO HOLANDA";"HOLANDA";"ariosto holanda";"ariosto holanda";"ARIOSTO HOLANDA";"PSB";"CE";617;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189245"
"ARLINDO CHINAGLIA";"CHINAGLIA";"arlindo chinaglia";"arlindo chinaglia";"ARLINDO CHINAGLIA";"PT";"SP";974;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189246"
"ARMANDO ABÍLIO";"ABÍLIO";"armando abílio";"armando abilio";"ARMANDO ABILIO";"PTB";"PB";975;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189247"
"ARMANDO MONTEIRO";"MONTEIRO";"armando monteiro";"armando monteiro";"ARMANDO MONTEIRO";"PTB";"PE";1323;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189248"
"ARMANDO VERGÍLIO";"VERGÍLIO";"armando vergílio";"armando vergilio";"ARMANDO VERGILIO";"PSD";"GO";2321;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189249"
"ARNALDO FARIA DE SÁ";"FARIA DE SÁ";"arnaldo faria de sá";"arnaldo faria de sa";"ARNALDO FARIA DE SA";"PTB";"SP";292;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189250"
"ARNALDO JARDIM";"JARDIM";"arnaldo jardim";"arnaldo jardim";"ARNALDO JARDIM";"PPS";"SP";1786;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189251"
"ARNALDO JORDY";"JORDY";"arnaldo jordy";"arnaldo jordy";"ARNALDO JORDY";"PPS";"PA";2341;2011;54;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189252"
"ARNALDO MADEIRA";"MADEIRA";"arnaldo madeira";"arnaldo madeira";"ARNALDO MADEIRA";"PSDB";"SP";1202;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189253"
"ARNALDO VIANNA";"VIANNA";"arnaldo vianna";"arnaldo vianna";"ARNALDO VIANNA";"PDT";"RJ";1785;2007;53;"http://www2.camara.gov.br/deputados/pesquisa/ws_layouts_deputados_fotoBiograf?id=189254"
